Open Time,Open Price,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Close Return
1609574400000,1.2729,1.3311,1.2181,1.3226,1110922.2,1609588799999,1412632.77093,5537,457856.3,582477.0,0.0390447
1609588800000,1.3226,1.401,1.3137,1.3397,1861577.3,1609603199999,2521892.145993,10556,806552.3,1093531.0,0.01292908
1609603200000,1.3405,1.3859,1.3169,1.377,747492.2,1609617599999,1010929.902312,3785,399934.6,540462.6,0.02784205
1609617600000,1.3771,1.38,1.23,1.2919,1466683.5,1609631999999,1906555.070909,5644,618844.1,808536.0,-0.06180102
1609632000000,1.2919,1.3499,1.2856,1.3267,542297.9,1609646399999,710644.612227,2681,361913.1,473903.4,0.02693707
1609646400000,1.3268,1.4128,1.3107,1.3511,951099.1,1609660799999,1294415.006609,4555,539548.3,733913.0,0.0183915
1609660800000,1.3527,1.4855,1.3228,1.4654,1540175.9,1609675199999,2177849.654558,6842,708055.7,999558.4,0.08459774
1609675200000,1.4654,1.52,1.4364,1.4756,1597077.8,1609689599999,2375529.705052,9094,785370.2,1169362.5,0.00696056
1609689600000,1.4796,1.508,1.429,1.4497,1893366.3,1609703999999,2765153.952924,8417,1034227.8,1512114.8,-0.01755218
1609704000000,1.4497,1.52,1.4481,1.4839,874311.8,1609718399999,1304494.326227,5181,473254.4,706532.8,0.02359109
1609718400000,1.4886,1.544,1.4593,1.544,695804.2,1609732799999,1045433.744563,3908,460026.6,692438.6,0.04050138
1609732800000,1.544,1.58,1.444,1.4725,1600256.6,1609747199999,2438266.629631,9414,742003.4,1136048.7,-0.04630829
1609747200000,1.4731,1.5137,1.3,1.4133,2119911.5,1609761599999,2969104.911251,10968,895545.3,1255435.7,-0.04020374
1609761600000,1.4133,1.5166,1.389,1.4985,1616052.3,1609775999999,2360797.673172,9763,733300.2,1072856.7,0.06028444
1609776000000,1.4989,1.5166,1.4053,1.4482,936928.4,1609790399999,1354815.198038,5276,456349.2,660619.8,-0.0335669
1609790400000,1.4443,1.596,1.4243,1.5929,1276751.4,1609804799999,1924040.011988,8386,749301.8,1130709.3,0.09991714
1609804800000,1.5904,1.6548,1.55,1.5564,1004154.7,1609819199999,1617670.32639,7305,622160.6,1003269.3,-0.02291418
1609819200000,1.5582,1.6248,1.5018,1.5682,1003170.2,1609833599999,1559114.982481,5615,474935.8,738705.0,0.0075816
1609833600000,1.571,1.6585,1.5452,1.6563,1273513.3,1609847999999,2052097.962037,7362,606255.8,979965.8,0.05617906
1609848000000,1.6569,1.6608,1.5388,1.592,1460403.7,1609862399999,2321647.206752,6808,845740.8,1346769.1,-0.03882147
1609862400000,1.5935,1.6312,1.5307,1.557,1549689.8,1609876799999,2452809.439641,6802,938788.2,1488232.5,-0.02198492
1609876800000,1.5612,1.62,1.5405,1.5826,808948.4,1609891199999,1277144.702714,5032,408512.9,644488.2,0.01644188
1609891200000,1.5846,1.6029,1.4667,1.4876,2347329.1,1609905599999,3552811.100187,7924,1514959.0,2292007.0,-0.0600278
1609905600000,1.4875,1.56,1.4648,1.4928,1587176.0,1609919999999,2378116.093535,5367,926128.8,1386989.6,0.00349556
1609920000000,1.4962,1.5327,1.4634,1.5222,974628.0,1609934399999,1460078.251009,4557,477551.7,716201.0,0.01969453
1609934400000,1.5258,1.5529,1.5099,1.5351,928094.7,1609948799999,1422248.625152,5742,484572.8,743623.3,0.00847458
1609948800000,1.5359,1.65,1.53,1.5349,1305961.3,1609963199999,2085214.891002,6621,804782.6,1284056.0,-0.00013028
1609963200000,1.5373,1.5999,1.5011,1.5916,835402.7,1609977599999,1300539.588266,5519,426678.6,665261.0,0.03694052
1609977600000,1.5963,1.6198,1.505,1.529,1539454.9,1609991999999,2383121.347916,6467,1015726.2,1570935.0,-0.03933149
1609992000000,1.5313,1.5515,1.4998,1.5023,803120.5,1610006399999,1226890.207795,3552,369587.1,563816.5,-0.01746239
1610006400000,1.5062,1.5137,1.4184,1.4726,1467689.4,1610020799999,2167078.801792,8291,734744.4,1087146.6,-0.01976969
1610020800000,1.4762,1.5157,1.45,1.5154,1071507.8,1610035199999,1591651.769677,5232,694761.0,1033025.8,0.02906424
1610035200000,1.5157,1.5381,1.3433,1.4605,1440098.4,1610049599999,2084968.82919,7230,758408.2,1098206.0,-0.03622806
1610049600000,1.4603,1.5,1.433,1.4612,705240.0,1610063999999,1036080.675561,5090,372050.3,547023.6,0.00047929
1610064000000,1.4645,1.4691,1.168,1.3333,2604266.9,1610078399999,3359384.438875,10264,1479976.9,1893207.6,-0.0875308
1610078400000,1.333,1.3983,1.2899,1.397,998236.6,1610092799999,1342256.815287,4806,535562.6,720875.4,0.04777619
1610092800000,1.3945,1.4543,1.3546,1.4347,886117.6,1610107199999,1252737.077822,4509,378077.5,534990.4,0.0269864
1610107200000,1.4354,1.4499,1.35,1.3848,972012.1,1610121599999,1367719.297956,5165,508510.0,715872.0,-0.03478079
1610121600000,1.3875,1.4118,1.3124,1.3362,772142.3,1610135999999,1056232.678636,3915,424108.4,581860.3,-0.03509532
1610136000000,1.3375,1.3552,1.2736,1.346,609239.0,1610150399999,803165.223538,3461,294606.6,388497.0,0.00733423
1610150400000,1.3499,1.3994,1.3121,1.3912,837042.1,1610164799999,1134809.823583,4254,400076.6,542882.9,0.03358098
1610164800000,1.3919,1.4263,1.36,1.4256,627850.1,1610179199999,872189.556424,3253,240091.9,333665.2,0.02472685
1610179200000,1.4259,1.5,1.4179,1.4905,606561.7,1610193599999,884402.978075,3356,337799.4,493277.3,0.04552469
1610193600000,1.4938,1.5788,1.4879,1.5474,1198411.9,1610207999999,1849822.199243,6575,608840.4,940183.1,0.03817511
1610208000000,1.5479,1.56,1.4984,1.5447,513698.9,1610222399999,789584.570774,3197,232286.5,357072.0,-0.00174486
1610222400000,1.5449,1.6017,1.5213,1.5674,876490.8,1610236799999,1374243.677007,5340,417208.1,653584.5,0.01469541
1610236800000,1.5673,1.66,1.5657,1.5864,1181073.9,1610251199999,1910198.779942,6488,621859.2,1005367.2,0.01212199
1610251200000,1.5819,1.6089,1.565,1.5935,405523.3,1610265599999,640176.126843,2243,238821.8,377024.4,0.00447554
1610265600000,1.5954,1.6188,1.441,1.4575,907199.5,1610279999999,1383740.010911,5773,352260.3,538019.5,-0.08534672
1610280000000,1.4538,1.5138,1.4236,1.4849,870383.3,1610294399999,1285758.596503,7263,419811.9,622272.0,0.01879931
1610294400000,1.4827,1.4931,1.373,1.4073,1071196.6,1610308799999,1527795.475136,6240,520428.1,745196.8,-0.05225941
1610308800000,1.4163,1.4788,1.3411,1.4594,727822.8,1610323199999,1033474.181909,4806,345552.6,491489.7,0.03702125
1610323200000,1.4593,1.46,1.2533,1.3158,1202452.6,1610337599999,1623512.176106,6720,476730.6,643238.4,-0.0983966
1610337600000,1.3179,1.3607,1.2152,1.3052,1496005.6,1610351999999,1924739.279882,5760,624569.2,804882.5,-0.00805594
1610352000000,1.3055,1.3682,1.2745,1.28,1040020.8,1610366399999,1374104.431197,5849,556495.9,734393.2,-0.01930739
1610366400000,1.2808,1.3102,1.155,1.187,1496560.8,1610380799999,1843880.121779,7087,753599.9,930971.0,-0.07265625
1610380800000,1.1836,1.2649,1.12,1.204,2033615.6,1610395199999,2415861.030027,10391,940617.6,1119776.6,0.01432182
1610395200000,1.2018,1.3183,1.178,1.3091,895000.0,1610409599999,1122865.700003,5178,508208.0,638172.4,0.08729236
1610409600000,1.305,1.3299,1.2635,1.3133,564890.4,1610423999999,730693.349083,3533,258216.9,334738.6,0.00320831
1610424000000,1.3162,1.4294,1.3035,1.4201,968174.6,1610438399999,1340802.610428,4894,502664.7,693641.7,0.08132186
1610438400000,1.4235,1.4272,1.3433,1.3816,769386.1,1610452799999,1061977.174729,3635,359437.1,497715.7,-0.02711077
1610452800000,1.3829,1.3952,1.2347,1.2861,1249412.9,1610467199999,1616852.720679,5803,729786.2,945250.7,-0.06912276
1610467200000,1.2865,1.39,1.2845,1.3305,1230451.9,1610481599999,1653325.655731,5518,686224.7,920390.7,0.03452298
1610481600000,1.3281,1.3509,1.2706,1.2913,709346.7,1610495999999,929977.082067,3163,338384.7,444688.4,-0.02946261
1610496000000,1.29,1.2948,1.2071,1.2918,942223.0,1610510399999,1175547.22633,4860,561638.2,700540.6,0.00038721
1610510400000,1.2877,1.622,1.2678,1.5675,3469325.7,1610524799999,5091809.854325,14045,1764093.0,2574640.8,0.21342313
1610524800000,1.5711,1.6464,1.4936,1.5706,3238258.4,1610539199999,5082932.363421,15482,1767943.2,2772652.2,0.00197767
1610539200000,1.5729,1.7879,1.54,1.772,3470442.3,1610553599999,5869958.578736,16397,1667183.9,2815321.2,0.12823125
1610553600000,1.772,1.89,1.7363,1.8641,3197443.6,1610567999999,5763506.659192,20936,1605266.1,2894083.0,0.05197517
1610568000000,1.8631,1.87,1.76,1.808,1269462.4,1610582399999,2300042.088629,9795,634352.3,1150451.5,-0.03009495
1610582400000,1.8069,1.8303,1.719,1.73,1617840.3,1610596799999,2836795.517782,11229,742465.7,1301541.1,-0.04314159
1610596800000,1.728,1.8236,1.7127,1.7905,750884.0,1610611199999,1330791.015708,7056,372390.3,659940.9,0.0349711
1610611200000,1.7909,1.822,1.7084,1.7856,1097655.6,1610625599999,1936312.828888,8221,575316.5,1016231.9,-0.00273667
1610625600000,1.7855,1.9603,1.7445,1.9219,1612589.1,1610639999999,3039629.341408,11193,825131.3,1556912.5,0.07633289
1610640000000,1.9205,1.9434,1.8748,1.922,735742.7,1610654399999,1407163.54318,5465,367227.0,702449.6,5.203e-05
1610654400000,1.922,1.9514,1.8325,1.9053,1067508.1,1610668799999,2010764.348258,7826,566116.9,1063923.5,-0.00868887
1610668800000,1.9053,1.986,1.8675,1.8948,1414614.1,1610683199999,2741455.133105,7941,617772.7,1197824.4,-0.00551094
1610683200000,1.8907,1.9095,1.8245,1.9071,785030.4,1610697599999,1466687.493547,5090,384849.0,719790.2,0.00649145
